Hashmap,Compiler,SystemHostname,PageSize,HugePageSize,DataPointer,IsAlignedToHPSize,LoadFactor,Size,Distribution,KeySize,ValueSize,EntrySize,EntriesProcessed,Runtime,Successful
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-19,4096,2097152,0x7f206e800000,true,25,134217728,Uniform,8,32,0,33554432,2914,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-19,4096,2097152,0x7f206e800000,true,25,134217728,Uniform,8,32,0,33554432,2884,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-19,4096,2097152,0x7f206e800000,true,25,134217728,Uniform,8,32,0,33554432,2972,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1c96a00000,true,25,134217728,Uniform,8,32,0,33554432,1343,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1c96a00000,true,25,134217728,Uniform,8,32,0,33554432,1342,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1c96a00000,true,25,134217728,Uniform,8,32,0,33554432,1351,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1ca6a00000,true,25,134217728,Uniform,8,32,0,33554432,2662,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1ca6a00000,true,25,134217728,Uniform,8,32,0,33554432,2661,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-19,4096,2097152,0x7f1ca6a00000,true,25,134217728,Uniform,8,32,0,33554432,2663,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,868,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,871,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,871,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1c76a00000,true,25,134217728,Uniform,8,32,48,33554432,1797,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1c76a00000,true,25,134217728,Uniform,8,32,48,33554432,1774,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1c76a00000,true,25,134217728,Uniform,8,32,48,33554432,1778,true
UnalignedRecalculatingRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,1008,true
UnalignedRecalculatingRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,1001,true
UnalignedRecalculatingRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-19,4096,2097152,0x7f1caea00000,true,25,134217728,Uniform,8,32,41,33554432,1005,true
ChainedHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; THP; BudgetKV; AdditionalBudget10; DirectoryPot29; DirectorySize536870912; BufferSize33554432; AdditionalElements0>,gcc,node-19,4096,2097152,0x7f1f79000000,true,25,134217728,Uniform,8,32,0,33554432,800,true
ChainedHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; THP; BudgetKV; AdditionalBudget10; DirectoryPot29; DirectorySize536870912; BufferSize33554432; AdditionalElements0>,gcc,node-19,4096,2097152,0x7f1f79000000,true,25,134217728,Uniform,8,32,0,33554432,798,true
ChainedHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; THP; BudgetKV; AdditionalBudget10; DirectoryPot29; DirectorySize536870912; BufferSize33554432; AdditionalElements0>,gcc,node-19,4096,2097152,0x7f1f79000000,true,25,134217728,Uniform,8,32,0,33554432,797,true
