Hashmap,Compiler,SystemHostname,PageSize,HugePageSize,DataPointer,IsAlignedToHPSize,LoadFactor,Size,Distribution,KeySize,ValueSize,EntrySize,EntriesProcessed,Runtime,Successful
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,armnode-04,65536,536870912,0xffff60000000,true,25,134217728,Uniform,8,32,0,33554432,9459,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,armnode-04,65536,536870912,0xffff60000000,true,25,134217728,Uniform,8,32,0,33554432,9370,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,armnode-04,65536,536870912,0xffff60000000,true,25,134217728,Uniform,8,32,0,33554432,9382,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; svuint16_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffb80000000,true,25,134217728,Uniform,8,32,0,33554432,4662,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; svuint16_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffb80000000,true,25,134217728,Uniform,8,32,0,33554432,4669,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint16_t; NoPref; THP; NoUnroll; svuint16_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffb80000000,true,25,134217728,Uniform,8,32,0,33554432,4676,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 64FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffba0000000,true,25,134217728,Uniform,8,32,0,33554432,6002,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 64FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffba0000000,true,25,134217728,Uniform,8,32,0,33554432,6015,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; svuint8_t; TESTZ; NoAVX512; svbool_t; SVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 64FPPB; LSBMSB; NoFallback>,gcc,armnode-04,65536,536870912,0xfffba0000000,true,25,134217728,Uniform,8,32,0,33554432,6006,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; DummyTuple; uint8_t; NoPref; THP; NoUnroll; uint8x16_t; TESTZ; NoAVX512; uint8x16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,armnode-04,65536,536870912,0xffff60000000,true,25,134217728,Uniform,8,32,0,33554432,8644,true
