Hashmap,Compiler,SystemHostname,PageSize,HugePageSize,DataPointer,IsAlignedToHPSize,LoadFactor,Size,ThreadCount,ThreadTableSize,Distribution,KeySize,ValueSize,EntrySize,EntriesProcessed,Runtime,ThreadAvgRuntime,ThreadMaxRuntime,Successful
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-27,4096,2097152,0x7fa3f2200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,2195,2195,2195,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-27,4096,2097152,0x7fa3f2200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,2167,2167,2167,true
FingerprintingSIMDSoAHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; LSBMSB>,gcc,node-27,4096,2097152,0x7fa3f2200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,2194,2194,2194,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa25a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1031,1031,1031,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa25a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1035,1035,1035,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint16_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa25a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1033,1033,1033,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa26a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1869,1869,1869,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa26a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1914,1914,1914,true
BucketingSIMDHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; uint8_t; NoPref; THP; NoUnroll; __m256i; TESTZ; NoAVX512; __m256i; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 32FPPB; LSBMSB; NoFallback>,gcc,node-27,4096,2097152,0x7fa26a200000,true,25,134217728,1,134217728,Uniform,8,8,0,33554432,1907,1907,1907,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa272200000,true,25,134217728,1,134217728,Uniform,8,8,17,33554432,915,915,915,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa272200000,true,25,134217728,1,134217728,Uniform,8,8,17,33554432,875,875,875,true
UnalignedLinearProbingAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa272200000,true,25,134217728,1,134217728,Uniform,8,8,17,33554432,892,892,892,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa23a200000,true,25,134217728,1,134217728,Uniform,8,8,24,33554432,1456,1456,1456,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa23a200000,true,25,134217728,1,134217728,Uniform,8,8,24,33554432,1427,1427,1427,true
StoringRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa23a200000,true,25,134217728,1,134217728,Uniform,8,8,24,33554432,1398,1398,1398,true
UnalignedRecalculatingRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa272200000,true,25,134217728,1,134217728,Uniform,8,8,17,33554432,1054,1054,1054,true
UnalignedRecalculatingRobinHoodAoSHashTable<MultShift64BBitHasher; uint64_t; ptr_DummyTuple128; NoPref; THP; NoUnroll; NoAddPrf>,gcc,node-27,4096,2097152,0x7fa272200000,true,25,134217728,1,134217728,Uniform,8,8,17,33554432,1060,1060,1060,true
