Hashmap,Compiler,SystemHostname,PageSize,HugePageSize,DataPointer,IsAlignedToHPSize,LoadFactor,Size,Distribution,KeySize,ValueSize,EntrySize,EntriesProcessed,Runtime,Successful
FingerprintingSIMDSoAHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,node-15,4096,2097152,0x7fd487200000,true,25,134217728,Uniform,8,8,0,33554432,1560,true
FingerprintingSIMDSoAHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,node-15,4096,2097152,0x7fd487200000,true,25,134217728,Uniform,8,8,0,33554432,1562,true
FingerprintingSIMDSoAHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,node-15,4096,2097152,0x7fd487200000,true,25,134217728,Uniform,8,8,0,33554432,1561,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint16_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint8_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd32f200000,true,25,134217728,Uniform,8,8,0,33554432,1307,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint16_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint8_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd32f200000,true,25,134217728,Uniform,8,8,0,33554432,1302,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint16_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint8_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 8FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd32f200000,true,25,134217728,Uniform,8,8,0,33554432,1302,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd33f200000,true,25,134217728,Uniform,8,8,0,33554432,1385,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd33f200000,true,25,134217728,Uniform,8,8,0,33554432,1385,true
BucketingSIMDHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; KeyValueAoSStoringBucket; 16FPPB; MSBLSB; NoFallback>,gcc,node-15,4096,2097152,0x7fd33f200000,true,25,134217728,Uniform,8,8,0,33554432,1385,true
FingerprintingSIMDSoAHashTable<XXBitHasher; stringkey; uint64_t; uint8_t; NoPref; THP; NoUnroll; __m128i; TESTZ; AVX512; uint16_t; NoSVE; SSE2NEON; NoSVEBroadcast; LikelyHints; MSBLSB>,gcc,node-15,4096,2097152,0x7fd487200000,true,25,134217728,Uniform,8,8,0,33554432,1562,true
